uniqueid,Divorce_date,Date_of_marriage,Age_partner_man,Marriage_duration,Type_of_divorce,Num_Children,DOB_partner_man,Level_of_education_partner_man,year_of_marriage,year_of_DOB,year_of_Divorse,month_of_DOB,day_of_DOB,DONE,dayun,man時干,man時支,man日干,man日支,man月干,man月支,man年干,man年支,Year_marriage_ganzhi,man日支同年支,man日支六沖,man日支六合,man流年天干十神,man流年地支十神,man財透干,man財得地,man日干五合,man日柱天地合,man流年雙體財,man日干支關係,man日支半三合,man日支半三會局,man日支暗合,man流年大運天地合,man流年大運伏吟,當令,man大運天干十神,man大運地支十神,man大運財透干,man大運財得地,man年干十神,man年支十神,man月干十神,man月支十神,年月有多少財,年月有多少官,本命日支六合,本命日支三合,本命日支被三合或六合,日支大運六合,日支大運三合,日支被大運三合或六合,流年之前日支被合,marriage_age,marri_age_group,man大運財透干2,man大運財得地2,man大運日支六沖,man大運日支六合,man大運日干五合,man大運日柱天地合,man財透干2,man財得地2,man流年大運地支伏吟
2317,2007-07-16,2000-08-05,55.0,7.0,Necesario,1.0,1951-11-14,PREPARATORIA,2000,1951,2007,11,14,1,甲午,壬,子,戊,午,己,亥,辛,卯,庚辰,False,False,False,食神,比肩,False,False,False,False,False,日支生日干,False,False,False,False,False,0,七殺,偏印,False,False,傷官,正官,劫財,偏財,1,1,no,no,no,no,no,no,no,49,41-50,False,False,False,False,False,False,False,False,False
2318,2009-07-16,1996-08-08,34.0,12.0,Necesario,2.0,1975-02-10,PROFESIONAL,1996,1975,2009,2,10,1,丙子,庚,子,丁,亥,戊,寅,乙,卯,丙子,False,False,False,劫財,七殺,False,False,False,False,False,日支剋日干,False,True,False,False,True,0,劫財,七殺,False,False,偏印,偏印,傷官,正印,0,0,yes,no,yes,no,no,no,yes,21,0-20,False,False,False,False,False,False,False,False,True
2319,2009-07-16,2002-12-21,32.0,7.0,Necesario,,1976-12-19,PROFESIONAL,2002,1976,2009,12,19,1,壬寅,丙,子,乙,巳,庚,子,丙,辰,壬午,False,False,False,正印,傷官,False,False,False,False,False,日干生日支,False,True,False,False,False,0,正印,劫財,False,False,傷官,正財,正官,偏印,1,1,no,no,no,no,no,no,no,26,21-30,False,False,False,False,False,False,False,False,False
2320,2012-07-16,1973-12-14,61.0,38.0,Voluntario,3.0,1950-10-31,PREPARATORIA,1973,1950,2012,10,31,1,己丑,甲,子,己,亥,丙,戌,庚,寅,癸丑,False,False,False,偏財,比肩,True,False,False,False,False,日干剋日支,False,True,False,False,False,1,比肩,比肩,False,False,傷官,正官,正印,劫財,0,1,yes,no,yes,no,no,no,yes,23,21-30,False,False,False,False,False,False,True,False,True
2321,2012-07-16,2001-06-04,38.0,11.0,Necesario,1.0,1974-07-04,PROFESIONAL,2001,1974,2012,7,4,1,癸酉,戊,子,丙,午,庚,午,甲,寅,辛巳,False,False,False,正財,劫財,True,False,True,False,False,比和,False,True,False,False,False,1,正官,正財,False,True,偏印,偏印,偏財,比肩,1,0,no,no,no,no,no,no,no,27,21-30,False,True,False,False,False,False,True,False,False
2322,2014-07-16,2011-11-25,26.0,1.0,Necesario,1.0,1987-11-22,PROFESIONAL,2011,1987,2014,11,22,1,己酉,丙,子,乙,亥,辛,亥,丁,卯,辛卯,False,False,False,七殺,比肩,False,False,False,False,False,日支生日干,True,False,False,False,False,0,偏財,七殺,True,False,食神,比肩,七殺,正印,0,1,no,no,no,no,no,no,no,24,21-30,True,False,False,False,False,False,False,False,False
2323,2014-07-16,1984-03-17,54.0,30.0,Voluntario,2.0,1959-08-13,PROFESIONAL,1984,1959,2014,8,13,1,己巳,庚,子,丁,卯,壬,申,己,亥,甲子,False,False,False,正印,七殺,False,False,False,False,False,日支生日干,False,False,False,False,False,0,食神,比肩,False,False,食神,正官,正官,正財,1,2,no,no,no,no,no,no,no,25,21-30,False,False,False,False,False,False,False,False,False
2324,2000-08-16,1994-11-10,24.0,5.0,Voluntario,1.0,1975-11-10,PREPARATORIA,1994,1975,2000,11,10,1,乙酉,丙,子,庚,申,丁,亥,乙,卯,甲戌,False,False,False,偏財,偏印,True,False,False,False,False,比和,False,True,False,False,False,0,正財,劫財,True,False,正財,正財,正官,食神,2,1,no,no,no,no,no,no,no,19,0-20,True,False,False,False,True,False,True,False,False
2325,2000-08-16,1984-05-09,39.0,16.0,Voluntario,2.0,1961-05-06,SECUNDARIA,1984,1961,2000,5,6,1,庚寅,甲,子,己,亥,壬,辰,辛,丑,甲子,False,False,False,正官,偏財,False,True,True,False,False,日干剋日支,False,True,False,False,False,1,傷官,正官,False,False,食神,比肩,正財,劫財,1,0,no,no,no,yes,no,no,no,23,21-30,False,False,False,True,False,False,False,True,False
2326,2000-08-16,1972-10-23,54.0,27.0,Necesario,,1946-05-17,PRIMARIA,1972,1946,2000,5,17,1,丙申,戊,子,辛,卯,癸,巳,丙,戌,壬子,False,False,False,傷官,食神,False,False,False,False,False,日干剋日支,False,False,False,False,False,0,正官,劫財,False,False,正官,正印,食神,七殺,0,2,yes,no,yes,no,no,no,yes,26,21-30,False,False,False,False,True,False,False,False,False
