uniqueid,Age_partner_man,DOB_partner_man,bazi_man,Marriage_duration,man日干,year_of_marriage,Year_marriage_ganzhi,man日支同年支,man日支六沖,man日支六合,man流年天干十神,man流年地支十神,man財透干,man財得地,man日干五合,man日柱天地合,man流年雙體財,man日干支關係,man日支半三合,man日支半三會局,man日支暗合,countScore
1091,40.0,1961-06-30,"['辛', '丑', '甲', '午', '甲', '午', '甲', '子']",5.0,甲,1992,壬申,False,False,False,偏印,七殺,False,False,False,False,False,日干生日支,False,False,False,0
1099,56.0,1955-08-01,"['乙', '未', '癸', '未', '甲', '午', '甲', '子']",6.0,甲,2005,乙酉,False,False,False,劫財,正官,False,False,False,False,False,日干生日支,False,False,False,0
1100,51.0,1961-06-13,"['辛', '丑', '甲', '午', '丁', '丑', '庚', '子']",10.0,丁,1988,戊辰,False,False,False,傷官,傷官,False,False,False,False,False,日干生日支,False,False,False,0
1109,47.0,1963-03-21,"['癸', '卯', '乙', '卯', '癸', '亥', '壬', '子']",15.0,癸,1992,壬申,False,False,False,劫財,正印,False,False,False,False,False,比和,False,False,False,0
1116,49.0,1950-05-18,"['庚', '寅', '辛', '巳', '癸', '丑', '壬', '子']",25.0,癸,1974,甲寅,False,False,False,傷官,傷官,False,False,False,False,False,日支剋日干,False,False,False,0
1117,24.0,1975-08-12,"['乙', '卯', '甲', '申', '庚', '寅', '丙', '子']",3.0,庚,1996,丙子,False,False,False,七殺,傷官,False,False,False,False,False,日干剋日支,False,False,False,0
1125,49.0,1959-07-07,"['己', '亥', '庚', '午', '庚', '寅', '丙', '子']",10.0,庚,1997,丁丑,False,False,False,正官,正印,False,False,False,False,False,日干剋日支,False,False,False,0
1136,59.0,1940-06-18,"['庚', '辰', '壬', '午', '壬', '辰', '庚', '子']",29.0,壬,1971,辛亥,False,False,False,正印,比肩,False,False,False,False,False,日支剋日干,False,False,False,0
1140,28.0,1976-03-29,"['丙', '辰', '辛', '卯', '庚', '辰', '丙', '子']",7.0,庚,1997,丁丑,False,False,False,正官,正印,False,False,False,False,False,日支生日干,False,False,False,0
1145,55.0,1954-07-02,"['甲', '午', '庚', '午', '己', '未', '甲', '子']",33.0,己,1976,丙辰,False,False,False,正印,劫財,False,False,False,False,False,比和,False,False,False,0
1148,39.0,1965-11-11,"['乙', '巳', '丁', '亥', '己', '巳', '甲', '子']",,己,1998,戊寅,False,False,False,劫財,正官,False,False,False,False,False,日支生日干,False,False,False,0
1152,51.0,1958-02-15,"['戊', '戌', '甲', '寅', '癸', '亥', '壬', '子']",28.0,癸,1980,庚申,False,False,False,正印,正印,False,False,False,False,False,比和,False,False,False,0
1154,33.0,1978-04-07,"['戊', '午', '丙', '辰', '己', '亥', '甲', '子']",5.0,己,2006,丙戌,False,False,False,正印,劫財,False,False,False,False,False,日干剋日支,False,False,False,0
1156,32.0,1982-01-11,"['辛', '酉', '辛', '丑', '甲', '午', '甲', '子']",9.0,甲,2004,甲申,False,False,False,比肩,七殺,False,False,False,False,False,日干生日支,False,False,False,0
1161,49.0,1962-12-20,"['壬', '寅', '壬', '子', '壬', '辰', '庚', '子']",7.0,壬,2003,癸未,False,False,False,劫財,正官,False,False,False,False,False,日支剋日干,False,False,False,0
1168,55.0,1953-04-27,"['癸', '巳', '丙', '辰', '戊', '申', '壬', '子']",22.0,戊,1985,乙丑,False,False,False,正官,劫財,False,False,False,False,False,日干生日支,False,False,False,0
1170,42.0,1969-01-07,"['戊', '申', '乙', '丑', '壬', '午', '庚', '子']",18.0,壬,1993,癸酉,False,False,False,劫財,正印,False,False,False,False,False,日干剋日支,False,False,False,0
1174,43.0,1958-09-10,"['戊', '戌', '辛', '酉', '庚', '寅', '丙', '子']",10.0,庚,1991,辛未,False,False,False,劫財,正印,False,False,False,False,False,日干剋日支,False,False,False,0
1175,38.0,1964-02-10,"['甲', '辰', '丙', '寅', '己', '丑', '甲', '子']",,己,1987,丁卯,False,False,False,偏印,七殺,False,False,False,False,False,比和,False,False,False,0
1177,35.0,1972-12-31,"['壬', '子', '壬', '子', '丙', '申', '戊', '子']",12.0,丙,1995,乙亥,False,False,False,正印,七殺,False,False,False,False,False,日干剋日支,False,False,False,0
1183,34.0,1967-03-03,"['丁', '未', '壬', '寅', '丙', '寅', '戊', '子']",12.0,丙,1989,己巳,False,False,False,傷官,劫財,False,False,False,False,False,日支生日干,False,False,False,0
1184,38.0,1964-09-22,"['甲', '辰', '癸', '酉', '甲', '戌', '甲', '子']",5.0,甲,1996,丙子,False,False,False,食神,正印,False,False,False,False,False,日干剋日支,False,False,False,0
1187,30.0,1972-09-29,"['壬', '子', '己', '酉', '癸', '亥', '壬', '子']",9.0,癸,1992,壬申,False,False,False,劫財,正印,False,False,False,False,False,比和,False,False,False,0
1191,59.0,1953-05-31,"['癸', '巳', '丁', '巳', '壬', '午', '庚', '子']",37.0,壬,1973,癸丑,False,False,False,劫財,正官,False,False,False,False,False,日干剋日支,False,False,False,0
1199,40.0,1964-10-01,"['甲', '辰', '癸', '酉', '癸', '未', '壬', '子']",12.0,癸,1992,壬申,False,False,False,劫財,正印,False,False,False,False,False,日支剋日干,False,False,False,0
1201,43.0,1965-05-03,"['乙', '巳', '庚', '辰', '丁', '巳', '庚', '子']",11.0,丁,1994,甲戌,False,False,False,正印,傷官,False,False,False,False,False,比和,False,False,False,0
1203,46.0,1965-09-27,"['乙', '巳', '乙', '酉', '甲', '申', '甲', '子']",9.0,甲,2002,壬午,False,False,False,偏印,食神,False,False,False,False,False,日支剋日干,False,False,False,0
1205,46.0,1965-07-10,"['乙', '巳', '癸', '未', '乙', '丑', '丙', '子']",7.0,乙,2004,甲申,False,False,False,劫財,正官,False,False,False,False,False,日干剋日支,False,False,False,0
1209,32.0,1979-07-15,"['己', '未', '辛', '未', '癸', '未', '壬', '子']",6.0,癸,2005,乙酉,False,False,False,食神,偏印,False,False,False,False,False,日支剋日干,False,False,False,0
1210,35.0,1976-08-11,"['丙', '辰', '丙', '申', '乙', '未', '丙', '子']",7.0,乙,2004,甲申,False,False,False,劫財,正官,False,False,False,False,False,日干剋日支,False,False,False,0
1215,40.0,1965-09-22,"['乙', '巳', '乙', '酉', '己', '卯', '甲', '子']",21.0,己,1985,乙丑,False,False,False,七殺,比肩,False,False,False,False,False,日支剋日干,False,False,False,0
1216,60.0,1945-09-28,"['乙', '酉', '乙', '酉', '庚', '子', '丙', '子']",37.0,庚,1969,己酉,False,False,False,正印,劫財,False,False,False,False,False,日干生日支,False,False,False,0
1227,22.0,1986-04-30,"['丙', '寅', '壬', '辰', '甲', '辰', '甲', '子']",,甲,2007,丁亥,False,False,False,傷官,偏印,False,False,False,False,False,日干剋日支,False,False,False,0
1234,29.0,1971-07-29,"['辛', '亥', '乙', '未', '乙', '卯', '丙', '子']",4.0,乙,1996,丙子,False,False,False,傷官,偏印,False,False,False,False,False,比和,False,False,False,0
1235,36.0,1964-05-30,"['甲', '辰', '己', '巳', '己', '卯', '甲', '子']",15.0,己,1985,乙丑,False,False,False,七殺,比肩,False,False,False,False,False,日支剋日干,False,False,False,0
1238,34.0,1968-02-07,"['戊', '申', '甲', '寅', '丁', '未', '庚', '子']",4.0,丁,1998,戊寅,False,False,False,傷官,正印,False,False,False,False,False,日干生日支,False,False,False,0
1242,43.0,1970-03-17,"['庚', '戌', '己', '卯', '丙', '申', '戊', '子']",7.0,丙,2002,壬午,False,False,False,七殺,比肩,False,False,False,False,False,日干剋日支,False,False,False,0
